route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
788,OP1,788,,3,https://muoversiaroma.it/it/linea?numero=788,,
913L,OP1,913L,,3,https://muoversiaroma.it/it/linea?numero=913L,,
792,OP1,792,,3,https://muoversiaroma.it/it/linea?numero=792,,
881,OP1,881,,3,https://muoversiaroma.it/it/linea?numero=881,,
983,OP1,983,,3,https://muoversiaroma.it/it/linea?numero=983,,
107,OP1,107,,3,https://muoversiaroma.it/it/linea?numero=107,,
047,OP1,047,,3,https://muoversiaroma.it/it/linea?numero=047,,
66,OP1,66,,3,https://muoversiaroma.it/it/linea?numero=66,,
720,OP1,720,,3,https://muoversiaroma.it/it/linea?numero=720,,
795,OP1,795,,3,https://muoversiaroma.it/it/linea?numero=795,,
520,OP1,520,,3,https://muoversiaroma.it/it/linea?numero=520,,
77,OP1,77,,3,https://muoversiaroma.it/it/linea?numero=77,,
F01,OP1,F01,,3,https://muoversiaroma.it/it/linea?numero=F01,,
F02,OP1,F02,,3,https://muoversiaroma.it/it/linea?numero=F02,,
F10,OP1,F10,,3,https://muoversiaroma.it/it/linea?numero=F10,,
F20,OP1,F20,,3,https://muoversiaroma.it/it/linea?numero=F20,,
72,OP1,72,,3,https://muoversiaroma.it/it/linea?numero=72,,
73,OP1,73,,3,https://muoversiaroma.it/it/linea?numero=73,,
073,OP1,073,,3,https://muoversiaroma.it/it/linea?numero=073,,
74,OP1,74,,3,https://muoversiaroma.it/it/linea?numero=74,,
nMA,OP1,nMA,,3,https://muoversiaroma.it/it/linea?numero=nMA,,
nMB,OP1,nMB,,3,https://muoversiaroma.it/it/linea?numero=nMB,,
nMB1,OP1,nMB1,,3,https://muoversiaroma.it/it/linea?numero=nMB1,,
nME,OP1,nME,,3,https://muoversiaroma.it/it/linea?numero=nME,,
n551,OP1,n551,,3,https://muoversiaroma.it/it/linea?numero=n551,,
nMC,OP1,nMC,,3,https://muoversiaroma.it/it/linea?numero=nMC,,
n041,OP1,n041,,3,https://muoversiaroma.it/it/linea?numero=n041,,
n075,OP1,n075,,3,https://muoversiaroma.it/it/linea?numero=n075,,
n200,OP1,n200,,3,https://muoversiaroma.it/it/linea?numero=n200,,
n201,OP1,n201,,3,https://muoversiaroma.it/it/linea?numero=n201,,
n3d,OP1,n3d,,3,https://muoversiaroma.it/it/linea?numero=n3d,,
n3s,OP1,n3s,,3,https://muoversiaroma.it/it/linea?numero=n3s,,
n409,OP1,n409,,3,https://muoversiaroma.it/it/linea?numero=n409,,
n46,OP1,n46,,3,https://muoversiaroma.it/it/linea?numero=n46,,
n500,OP1,n500,,3,https://muoversiaroma.it/it/linea?numero=n500,,
n543,OP1,n543,,3,https://muoversiaroma.it/it/linea?numero=n543,,
n66,OP1,n66,,3,https://muoversiaroma.it/it/linea?numero=n66,,
n70,OP1,n70,,3,https://muoversiaroma.it/it/linea?numero=n70,,
n705,OP1,n705,,3,https://muoversiaroma.it/it/linea?numero=n705,,
n716,OP1,n716,,3,https://muoversiaroma.it/it/linea?numero=n716,,
n719,OP1,n719,,3,https://muoversiaroma.it/it/linea?numero=n719,,
n74,OP1,n74,,3,https://muoversiaroma.it/it/linea?numero=n74,,
n781,OP1,n781,,3,https://muoversiaroma.it/it/linea?numero=n781,,
n90,OP1,n90,,3,https://muoversiaroma.it/it/linea?numero=n90,,
n904,OP1,n904,,3,https://muoversiaroma.it/it/linea?numero=n904,,
n913,OP1,n913,,3,https://muoversiaroma.it/it/linea?numero=n913,,
n92,OP1,n92,,3,https://muoversiaroma.it/it/linea?numero=n92,,
n98,OP1,n98,,3,https://muoversiaroma.it/it/linea?numero=n98,,
990L,OP1,990L,,3,https://muoversiaroma.it/it/linea?numero=990L,,
344,OP1,344,,3,https://muoversiaroma.it/it/linea?numero=344,,
424,OP1,424,,3,https://muoversiaroma.it/it/linea?numero=424,,
045,OP1,045,,3,https://muoversiaroma.it/it/linea?numero=045,,
713,OP1,713,,3,https://muoversiaroma.it/it/linea?numero=713,,
712,OP1,712,,3,https://muoversiaroma.it/it/linea?numero=712,,
724,OP1,724,,3,https://muoversiaroma.it/it/linea?numero=724,,
n070,OP1,n070,,3,https://muoversiaroma.it/it/linea?numero=n070,,
779F,OP1,779F,,3,https://muoversiaroma.it/it/linea?numero=779F,,
91,OP1,91,,3,https://muoversiaroma.it/it/linea?numero=91,,
763,OP1,763,,3,https://muoversiaroma.it/it/linea?numero=763,,
